profile,split,prefix_ratio,concurrency,isl,osl,turns,mean_ttft_ms,p99_ttft_ms,mean_itl_ms,p99_itl_ms,std_itl_ms,mean_e2e_latency_ms,p99_e2e_latency_ms,output_throughput_tok_s,request_throughput_rps,prefix_cache_reused_ratio,completed_requests,wall_time_ms
chat,agg_4w,0.2,8,512,256,3,34.223857666665666,36.229899,5.80256001177099,5.812476999999944,0.0073513770267502705,1513.8766606666536,1515.8827019999967,1352.8182666467417,5.284446354088835,0.24833333333333332,600,85.877208
chat,agg_4w,0.2,32,512,256,3,72.6067142933342,75.304043,5.967891846439377,6.009669000000031,0.031050251174023418,1594.4191351332308,1597.6856059999984,5071.433745395062,19.81028806794946,0.24833333333333332,600,52.141667000000005
chat,agg_4w,0.2,128,512,256,3,149.70519346666683,270.309117,7.012001910585093,6.791533999999956,7.052617681932927,1937.7656806666644,2103.749937999995,15801.797931675566,61.72577317060768,0.24833333333333332,600,79.817125
chat,agg_4w,0.6,8,512,256,3,28.236927013330583,33.175466,5.792680254894697,5.802599000002374,0.007352829239159717,1505.3703920134662,1510.3089310000078,1360.4625219583072,5.3143067263996375,0.6208333333333333,600,71.852
chat,agg_4w,0.6,32,512,256,3,46.68407572000025,51.967633,5.8996914616557286,5.940730000000258,0.029945440162989508,1551.1053984399466,1556.757463000001,5212.573159906349,20.361613905884177,0.6208333333333333,600,50.204833
chat,agg_4w,0.6,128,512,256,3,87.87611794666707,138.309867,6.483991989544835,6.489872000000105,3.3873806208754136,1741.2940752800203,1759.0450529999873,17318.201778823648,67.64922569852988,0.6208333333333333,600,45.330917
chat,agg_4w,0.9,8,512,256,3,24.313925146663436,31.156419999999997,5.78609299998834,5.79601300000013,0.0073536095535434885,1499.7676401466006,1506.6101349999963,1365.544865203112,5.3341596296996565,0.8691666666666666,600,110.190292
chat,agg_4w,0.9,32,512,256,3,30.47278583999974,37.254941,5.8541783165516454,5.894724000001588,0.029466729732355555,1523.2882565600535,1530.304920999999,5307.441896339847,20.732194907577526,0.8691666666666666,600,46.451791
chat,agg_4w,0.9,128,512,256,3,43.96142761333276,62.890533999999995,6.202037779976359,6.287843000000066,1.6716885132036667,1625.481061506677,1636.1829740000212,18425.293371569413,71.97380223269302,0.8691666666666666,600,44.429666
chat,3p_1d,0.2,8,512,256,3,29.96775942166688,46.7366449999995,5.967756661242502,6.009669000006397,0.03087677465070261,1551.745708036931,1568.6518560000072,1319.4802386135993,5.154219682084372,0.24958333333333332,600,160.637875
chat,3p_1d,0.2,32,512,256,3,46.283702360001676,101.731331,6.612607538246792,6.791533999999956,0.12311878481329257,1732.498624613352,1793.2686819999947,4661.536077966694,18.2091253045574,0.24958333333333332,600,127.663875
chat,3p_1d,0.2,128,512,256,3,129.28983126666688,364.4510279999999,8.965077141691852,9.808528000000024,0.5889750989973117,2415.384502398334,2690.7853850000038,12747.329264533957,49.79425493958577,0.24958333333333332,600,85.009792
chat,3p_1d,0.6,8,512,256,3,29.42493866999875,39.017566,5.899965702455604,5.940730000002077,0.029831422020152033,1533.9161927933515,1543.7811150000011,1334.9665979278518,5.214713273155671,0.6239583333333333,600,84.305916
